CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,credit_utilization,payment_ratio,purchase_frequncy,average_transaction_value,oneoff_purchase_ratio,installments_purchase_ratio,main_purchase_type,customer_segment
C10001,3.735303702663308,0.818182,4.5685062016165,0.0,4.5685062016165,0.0,0.166667,0.0,0.083333,0.0,0.0,1.0986122886681096,6.90875477931522,5.312230547798351,4.945277144710759,0.0,12,0.540662365647539,1.0742027984174898,0.0,4.158433551799313,0.0,1.0,Installment,Installments Only
C10002,8.07198906965229,0.909091,0.0,0.0,0.0,8.77089628414314,0.0,0.0,0.0,0.22314355131420976,1.6094379124341003,0.0,8.853808274977197,8.319725329557853,6.978530763203816,0.20067051364395283,12,0.9116968449006853,1.1921886729260902,0.0,0.0,0.0,0.0,Mixed,Typical
C10003,7.82250436793527,1.0,6.651791487715673,6.651791487715673,0.0,0.0,1.0,0.6931471805599453,0.0,0.0,0.0,2.5649493574615367,8.922791623969637,6.434653643065494,6.442993546160169,0.0,12,0.8766880027682566,0.9987055856823502,0.0,2.593342230467574,1.0,0.0,Oneoff,"High Util, Low Repay"
C10004,7.419183046623112,0.636364,7.313220387090301,7.313220387090301,0.0,5.331694196081131,0.083333,0.0800423999811814,0.0,0.0800423999811814,0.6931471805599453,0.6931471805599453,8.922791623969637,0.0,5.747301459426504,0.0,12,0.8314867542902914,0.0,0.7290487519688221,10.550746785383243,1.0,0.0,Oneoff,"High Util, Low Repay"
C10005,6.70773522569534,1.0,2.833213344056216,2.833213344056216,0.0,0.0,0.083333,0.0800423999811814,0.0,0.0,0.0,0.6931471805599453,7.0909098220799835,6.521114029626576,5.5044825455607045,0.0,12,0.9459625624921223,1.1846915628583057,0.0,4.08746284125034,1.0,0.0,Oneoff,Oneoff Only
C10006,7.5015398929484585,1.0,7.1961470995031585,0.0,7.1961470995031585,0.0,0.666667,0.0,0.583333,0.0,0.0,2.1972245773362196,7.496097345175956,7.244982780319138,7.786653975212626,0.0,12,1.0007260508397753,0.9304359489174941,0.0,3.275107685272357,0.0,1.0,Installment,"High Util, Low Repay"
C10007,6.442955376434953,1.0,8.866724077232586,8.764620296057728,6.535792642927974,0.0,1.0,0.6931471805599453,1.0,0.0,0.0,4.174387269895637,9.510519035757246,8.757046643926731,5.293635895542641,0.6931471805599453,12,0.6774557048054899,1.6542593439983961,0.0,2.1240779793424056,0.9884846105184402,0.7371146982807516,Oneoff,Oneoff Only
C10008,7.509144970103254,1.0,6.080390756302384,0.0,6.080390756302384,0.0,1.0,0.0,1.0,0.0,0.0,2.5649493574615367,7.741099090035366,6.522188502413885,6.278585193239496,0.0,12,0.9700360223743044,1.038799076810599,0.0,2.370569515773983,0.0,1.0,Installment,Installments Only
C10009,6.92355625642517,1.0,6.759823554635403,6.496005463406834,5.303304908059076,0.0,0.333333,0.0800423999811814,0.25,0.0,0.0,1.791759469228055,8.853808274977197,6.535645496995635,5.7460862795529755,0.0,12,0.7819862415580714,1.1374081729771874,0.0,3.7727293594534443,0.9609726364754504,0.7845330377628642,Oneoff,Oneoff Only
C10010,5.031913792542936,0.545455,7.156644546714762,7.156644546714762,0.0,0.0,0.166667,0.1541509655415032,0.0,0.0,0.0,1.3862943611198906,9.305741456739435,7.06113759883932,4.618108740719055,0.0,12,0.5407321722761496,1.529010682788703,0.0,5.162427798475216,1.0,0.0,Oneoff,Oneoff Only
C10011,7.16559002295018,1.0,6.8255903209275,0.0,6.8255903209275,0.0,1.0,0.0,1.0,0.0,0.0,2.5649493574615367,7.0909098220799835,6.988690825187471,7.684185035477527,0.0,12,1.0105318221136665,0.9094901792344938,0.0,2.661101397995089,0.0,1.0,Installment,"High Util, Low Repay"
C10012,6.448564569245062,0.818182,7.308663352897687,7.308663352897687,0.0,0.0,0.25,0.22314355131420976,0.0,0.0,0.0,1.9459101490553132,7.601402334583733,6.560491096026781,5.053369500772936,0.0,12,0.8483388045264146,1.2982409251932445,0.0,3.755909981992666,1.0,0.0,Oneoff,Oneoff Only
C10013,7.325101934452095,1.0,8.076822924739153,7.824537889863976,6.577527505058253,0.0,1.0,0.22314355131420976,0.916667,0.0,0.0,3.295836866004329,8.006700845440367,6.412251160861846,6.196865654011144,0.22314355131420976,12,0.9148714402916119,1.034757169007091,0.0,2.4506136842054924,0.9687643226518644,0.8143706462737239,Oneoff,Oneoff Only
C10014,6.827296968040859,1.0,7.668060982974215,6.042537817291983,7.44948055322358,0.0,0.75,0.1541509655415032,0.75,0.0,0.0,3.295836866004329,8.922791623969637,7.412698496269839,5.5299765011453,0.0800423999811814,12,0.7651525728450757,1.3404575037045119,0.0,2.3265899662899585,0.7880137926274369,0.9714946933473847,Installment,Installments Only
